               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.046153,              0.0101,           0.0043788,             0.53387,             0.64183,             0.58844,             0.25395,            0.038185,           0.0056527,           0.0052626,            0.008317,            0.008317,            0.008317
                  36,            0.042811,            0.010607,            0.010462,             0.69408,             0.71294,             0.75239,             0.38299,            0.031572,           0.0061398,           0.0078564,           0.0082675,           0.0082675,           0.0082675
                  37,            0.037156,           0.0096258,           0.0067146,             0.93163,             0.77694,             0.89249,             0.57961,            0.022167,           0.0076775,           0.0045372,            0.008218,            0.008218,            0.008218
                  38,            0.036525,           0.0093486,           0.0058544,             0.68541,             0.82812,             0.81322,             0.42963,            0.024323,           0.0070667,           0.0038853,           0.0081685,           0.0081685,           0.0081685
                  39,             0.03803,            0.010718,           0.0040139,             0.60238,             0.81586,             0.81842,             0.51002,            0.025134,           0.0067186,           0.0057055,            0.008119,            0.008119,            0.008119
                  40,            0.032872,           0.0080834,           0.0035905,             0.81257,             0.76203,             0.86106,              0.3891,            0.026486,             0.00608,           0.0067545,           0.0080695,           0.0080695,           0.0080695
                  41,            0.040487,           0.0091521,            0.006601,             0.89221,             0.82216,             0.91281,             0.39301,            0.027684,           0.0051209,           0.0027209,             0.00802,             0.00802,             0.00802
                  42,             0.03858,           0.0083023,           0.0049735,             0.81427,             0.83293,             0.93898,             0.46164,            0.025493,           0.0047201,           0.0023315,           0.0079705,           0.0079705,           0.0079705
                  43,            0.036337,           0.0095931,           0.0049893,             0.89318,             0.87898,             0.92447,             0.54664,            0.021231,             0.00461,           0.0014402,            0.007921,            0.007921,            0.007921
                  44,            0.034261,           0.0094534,           0.0043869,             0.89876,             0.94065,               0.942,             0.59163,            0.020326,           0.0045215,           0.0022384,           0.0078715,           0.0078715,           0.0078715
                  45,             0.03146,            0.010127,           0.0058815,             0.81204,              0.9091,             0.90975,               0.559,             0.02168,            0.005001,           0.0011969,            0.007822,            0.007822,            0.007822
                  46,            0.032913,           0.0091955,           0.0034229,             0.84419,             0.90789,             0.94374,             0.46219,            0.026198,           0.0067192,          0.00063764,           0.0077725,           0.0077725,           0.0077725
                  47,            0.036299,           0.0091559,           0.0048444,             0.85729,             0.91106,             0.94823,             0.54715,            0.023026,           0.0052441,          0.00090146,            0.007723,            0.007723,            0.007723
                  48,            0.032871,           0.0096279,           0.0049733,             0.91147,             0.92493,             0.96858,             0.54928,            0.018444,           0.0046546,           0.0017858,           0.0076735,           0.0076735,           0.0076735
                  49,            0.031527,            0.009911,           0.0034586,             0.72806,             0.89701,             0.90009,             0.46508,            0.022338,           0.0048245,           0.0017159,            0.007624,            0.007624,            0.007624
                  50,            0.034664,           0.0089031,           0.0034412,             0.89006,             0.88704,             0.93715,             0.50497,             0.02015,           0.0041456,           0.0022902,           0.0075745,           0.0075745,           0.0075745
                  51,             0.03091,           0.0083287,           0.0047421,              0.9678,             0.93029,             0.97284,             0.61068,            0.018199,            0.005483,           0.0022693,            0.007525,            0.007525,            0.007525
                  52,            0.029349,           0.0093508,           0.0030952,             0.82732,             0.91466,              0.8974,             0.50373,            0.020943,           0.0061351,           0.0023009,           0.0074755,           0.0074755,           0.0074755
                  53,            0.031584,           0.0090142,           0.0020138,             0.82268,             0.94835,              0.9234,             0.62382,            0.019353,           0.0049079,           0.0020775,            0.007426,            0.007426,            0.007426
                  54,            0.029903,            0.010237,           0.0024987,              0.8479,             0.92668,             0.94918,               0.602,            0.020884,           0.0045059,           0.0018899,           0.0073765,           0.0073765,           0.0073765
                  55,            0.031594,           0.0090958,           0.0024338,             0.94626,             0.95465,             0.97822,             0.64712,            0.016107,           0.0041007,           0.0031307,            0.007327,            0.007327,            0.007327
                  56,            0.032389,           0.0079588,            0.002822,             0.89685,             0.91443,             0.94811,             0.58038,            0.019813,           0.0042492,           0.0043208,           0.0072775,           0.0072775,           0.0072775
                  57,            0.029633,           0.0085916,           0.0021505,             0.95312,             0.92655,             0.97342,             0.55393,            0.020623,           0.0040156,           0.0040538,            0.007228,            0.007228,            0.007228
                  58,            0.027634,           0.0087634,           0.0023984,             0.92254,             0.95616,             0.97316,             0.61897,            0.017057,           0.0038496,            0.004923,           0.0071785,           0.0071785,           0.0071785
                  59,            0.030871,           0.0089093,           0.0061055,             0.94132,             0.90969,             0.95791,             0.60375,            0.017227,           0.0038031,           0.0054269,            0.007129,            0.007129,            0.007129
                  60,            0.030747,           0.0086441,           0.0026988,             0.89981,             0.91903,             0.91099,             0.65771,              0.0169,           0.0036976,           0.0067323,           0.0070795,           0.0070795,           0.0070795
                  61,            0.027146,           0.0080848,           0.0025538,             0.94654,             0.95408,             0.97027,             0.69063,            0.016048,           0.0037351,           0.0029859,             0.00703,             0.00703,             0.00703
                  62,            0.028663,            0.009086,           0.0035077,             0.87992,             0.86737,             0.94283,             0.64847,            0.019274,           0.0041351,           0.0028686,           0.0069805,           0.0069805,           0.0069805
                  63,            0.027855,           0.0073442,           0.0023265,             0.82748,             0.77163,             0.85556,             0.47094,            0.023936,           0.0047328,           0.0060311,            0.006931,            0.006931,            0.006931
                  64,            0.028419,           0.0080037,           0.0029995,             0.87472,             0.85171,             0.88249,             0.63367,            0.016371,           0.0043068,           0.0080814,           0.0068815,           0.0068815,           0.0068815
                  65,            0.028468,           0.0078997,            0.001575,                0.91,             0.85492,               0.903,             0.63157,            0.016943,           0.0037718,           0.0070644,            0.006832,            0.006832,            0.006832
                  66,            0.027484,           0.0073966,           0.0019047,             0.89256,             0.90723,             0.92349,             0.60792,            0.019326,           0.0036159,           0.0048657,           0.0067825,           0.0067825,           0.0067825
                  67,             0.03039,           0.0083794,           0.0022919,               0.837,             0.91466,             0.91252,             0.60153,            0.017274,           0.0037097,           0.0048481,            0.006733,            0.006733,            0.006733
                  68,             0.02975,           0.0090421,           0.0031092,             0.94251,             0.95312,             0.94959,             0.58498,            0.016545,           0.0035573,           0.0048482,           0.0066835,           0.0066835,           0.0066835
                  69,            0.025595,           0.0079472,           0.0033322,             0.94529,             0.95312,             0.95622,             0.66783,            0.014285,           0.0034142,           0.0048929,            0.006634,            0.006634,            0.006634
                  70,            0.025811,           0.0078592,           0.0025753,             0.94619,             0.95312,             0.96503,             0.72728,            0.013714,            0.003443,           0.0048189,           0.0065845,           0.0065845,           0.0065845
                  71,            0.026976,           0.0080425,           0.0022311,             0.92575,              0.9495,              0.9726,             0.66888,             0.01901,           0.0038436,           0.0050551,            0.006535,            0.006535,            0.006535
                  72,            0.025737,           0.0069226,           0.0017761,             0.96572,             0.79523,             0.88419,             0.58264,            0.020253,           0.0055183,           0.0070211,           0.0064855,           0.0064855,           0.0064855
                  73,            0.025978,           0.0082788,           0.0020546,             0.96732,              0.8174,             0.92609,             0.55617,            0.021462,            0.004695,           0.0062096,            0.006436,            0.006436,            0.006436
                  74,            0.028305,           0.0086956,           0.0017948,             0.96798,             0.88106,             0.97479,             0.69201,            0.014941,           0.0036109,           0.0052256,           0.0063865,           0.0063865,           0.0063865
                  75,            0.026356,           0.0085542,           0.0021746,             0.99534,             0.93105,             0.95519,             0.64873,             0.01761,            0.003823,            0.003857,            0.006337,            0.006337,            0.006337
                  76,            0.024643,           0.0081395,           0.0014677,              0.9377,             0.96722,             0.99124,             0.75242,            0.015061,           0.0032245,           0.0036904,           0.0062875,           0.0062875,           0.0062875
                  77,            0.023867,           0.0074805,           0.0011097,             0.93099,             0.98191,             0.98337,             0.70994,              0.0152,           0.0032001,             0.00345,            0.006238,            0.006238,            0.006238
                  78,            0.024232,             0.00831,           0.0024199,             0.93258,             0.98438,             0.98485,             0.75126,            0.013301,           0.0030859,           0.0035132,           0.0061885,           0.0061885,           0.0061885
                  79,            0.023486,           0.0076726,           0.0028065,             0.93989,             0.98244,             0.98634,             0.71628,            0.014981,           0.0030213,           0.0032489,            0.006139,            0.006139,            0.006139
                  80,            0.025558,           0.0076507,            0.002148,             0.93942,             0.98244,             0.98742,             0.75394,            0.012525,           0.0029935,           0.0032471,           0.0060895,           0.0060895,           0.0060895
                  81,            0.026028,           0.0075171,           0.0019872,             0.92367,             0.98206,             0.97922,             0.73112,            0.014699,           0.0028757,           0.0033795,             0.00604,             0.00604,             0.00604
                  82,            0.027869,           0.0074874,           0.0018729,             0.94549,             0.95312,             0.97258,             0.73753,            0.013514,           0.0029623,           0.0042046,           0.0059905,           0.0059905,           0.0059905
                  83,            0.025676,           0.0078797,            0.002048,             0.92851,             0.95312,             0.96656,             0.72868,              0.0146,           0.0029273,           0.0046385,            0.005941,            0.005941,            0.005941
                  84,            0.026826,           0.0068187,           0.0015997,             0.93504,             0.95312,             0.96827,             0.67462,            0.014522,           0.0029394,           0.0049843,           0.0058915,           0.0058915,           0.0058915
                  85,            0.024069,            0.007249,           0.0011716,             0.93988,             0.95468,             0.97808,             0.73057,            0.014306,           0.0029447,           0.0045126,            0.005842,            0.005842,            0.005842
                  86,            0.025069,           0.0079595,           0.0019314,             0.91338,             0.97095,             0.98343,             0.74771,            0.012941,           0.0030665,           0.0042676,           0.0057925,           0.0057925,           0.0057925
                  87,            0.025027,           0.0076892,           0.0015591,             0.88568,             0.97657,              0.9919,             0.71456,            0.016381,           0.0031188,           0.0056202,            0.005743,            0.005743,            0.005743
                  88,            0.024847,           0.0066895,           0.0014739,             0.92204,             0.93882,             0.99179,             0.72333,            0.015529,           0.0032107,           0.0052106,           0.0056935,           0.0056935,           0.0056935
                  89,            0.023829,           0.0082974,           0.0020481,             0.95811,             0.96875,             0.98709,             0.75872,            0.014074,           0.0029342,           0.0031723,            0.005644,            0.005644,            0.005644
                  90,            0.021287,           0.0065709,           0.0018441,             0.95963,             0.96875,             0.97978,             0.75782,             0.01302,           0.0028706,           0.0031276,           0.0055945,           0.0055945,           0.0055945
                  91,            0.022708,           0.0066897,           0.0013782,             0.95709,             0.96875,              0.9837,             0.72695,            0.014343,           0.0029054,            0.003476,            0.005545,            0.005545,            0.005545
                  92,            0.023277,           0.0071013,           0.0013742,             0.94101,              0.9682,             0.98145,             0.75471,            0.015076,           0.0029876,           0.0041524,           0.0054955,           0.0054955,           0.0054955
                  93,            0.024139,           0.0082216,           0.0026503,             0.94181,             0.93943,              0.9592,             0.70131,            0.014872,           0.0031302,           0.0056535,            0.005446,            0.005446,            0.005446
                  94,            0.021953,           0.0079177,           0.0020175,             0.92883,             0.93955,             0.95279,             0.70632,            0.014413,            0.003072,           0.0062597,           0.0053965,           0.0053965,           0.0053965
                  95,            0.023882,           0.0075123,           0.0019812,             0.92983,             0.95384,             0.94741,              0.7208,               0.014,           0.0029503,           0.0057758,            0.005347,            0.005347,            0.005347
                  96,             0.02338,           0.0068305,            0.010775,             0.94504,             0.95312,             0.95237,             0.67857,            0.015258,           0.0029966,           0.0050033,           0.0052975,           0.0052975,           0.0052975
                  97,            0.025672,           0.0067633,           0.0016613,             0.94561,             0.95312,             0.96774,             0.67061,            0.014712,           0.0029456,           0.0043298,            0.005248,            0.005248,            0.005248
